epoch,accuracy,loss,val_accuracy,val_loss
0,0.9442999958992004,0.008260592818260193,0.9715999960899353,0.004560969304293394
1,0.9751499891281128,0.0041137696243822575,0.9549999833106995,0.007810990326106548
2,0.9634000062942505,0.006770741660147905,0.954200029373169,0.008955005556344986
3,0.9263499975204468,0.014602023176848888,0.9258000254631042,0.014713810756802559
4,0.9127333164215088,0.01738714799284935,0.9478999972343445,0.01038652565330267
5,0.8914666771888733,0.021649694070219994,0.9239000082015991,0.015202288515865803
6,0.8850833177566528,0.02295514941215515,0.8302000164985657,0.03393646702170372
7,0.9150999784469604,0.016952887177467346,0.9405999779701233,0.01187753863632679
8,0.8692833185195923,0.026127982884645462,0.9196000099182129,0.016064396128058434
9,0.9302166700363159,0.013946490362286568,0.9398000240325928,0.012042457237839699
10,0.9264666438102722,0.014689188450574875,0.9300000071525574,0.013988138176500797
11,0.9063000082969666,0.01872926391661167,0.8992999792098999,0.0201411210000515
12,0.8853833079338074,0.022908316925168037,0.944100022315979,0.01117975078523159
13,0.8939999938011169,0.021182430908083916,0.7660999894142151,0.04677293077111244
14,0.901033341884613,0.019788306206464767,0.9168999791145325,0.016614165157079697
15,0.8844333291053772,0.023104846477508545,0.9172000288963318,0.016532154753804207
16,0.8764166831970215,0.024714158847928047,0.897599995136261,0.020469648763537407
17,0.8966833353042603,0.020656276494264603,0.9197999835014343,0.016034703701734543
18,0.8510500192642212,0.029780298471450806,0.9006999731063843,0.019856659695506096
19,0.8529666662216187,0.02940099500119686,0.8878999948501587,0.022414373233914375
20,0.900433361530304,0.01990828663110733,0.8776999711990356,0.024459855630993843
21,0.8860499858856201,0.022783871740102768,0.916100025177002,0.01677566021680832
22,0.9246166944503784,0.015075058676302433,0.9333999752998352,0.013315881602466106
23,0.9102833271026611,0.017937500029802322,0.9332000017166138,0.013359973207116127
24,0.8921666741371155,0.02156461589038372,0.8689000010490417,0.02621847204864025
25,0.9128999710083008,0.017415214329957962,0.9404000043869019,0.011919992975890636
26,0.9229999780654907,0.015396988950669765,0.9093999862670898,0.018117640167474747
27,0.9127166867256165,0.017456799745559692,0.9193999767303467,0.016121389344334602
28,0.8990333080291748,0.02019084431231022,0.8998000025749207,0.020028000697493553
29,0.9120833277702332,0.01758306659758091,0.9157000184059143,0.016856981441378593
30,0.8654999732971191,0.02689789980649948,0.9273999929428101,0.014519999735057354
31,0.9200666546821594,0.015985876321792603,0.9316999912261963,0.013659998774528503
32,0.8571333289146423,0.028572356328368187,0.8810999989509583,0.02377859130501747
33,0.889549970626831,0.0220875795930624,0.8967999815940857,0.020644888281822205
34,0.8926166892051697,0.021469619125127792,0.8691999912261963,0.026159731671214104
35,0.8355666399002075,0.0328802727162838,0.8968999981880188,0.020619919523596764
36,0.8500000238418579,0.029999056831002235,0.8046000003814697,0.03907984122633934
37,0.811033308506012,0.03779245913028717,0.897599995136261,0.020479897037148476
38,0.8919166922569275,0.02161659300327301,0.9010000228881836,0.019799979403614998
39,0.9054999947547913,0.018898993730545044,0.8984000086784363,0.020319830626249313
40,0.7881666421890259,0.04236544668674469,0.8407999873161316,0.03184513375163078
41,0.8689000010490417,0.026219813153147697,0.8804000020027161,0.02391950599849224
42,0.9006500244140625,0.019867775961756706,0.9143000245094299,0.017139354720711708
43,0.8356500267982483,0.03286754712462425,0.8306000232696533,0.03388000652194023
44,0.8930166959762573,0.021395066753029823,0.8450999855995178,0.030979925766587257
45,0.8438166379928589,0.031237276270985603,0.8719000220298767,0.025620346888899803
46,0.8564500212669373,0.02870810404419899,0.8686000108718872,0.026279885321855545
47,0.896049976348877,0.020788822323083878,0.9049999713897705,0.01900000125169754
48,0.8853166699409485,0.022936031222343445,0.8521999716758728,0.029559997841715813
49,0.8532833456993103,0.02934320457279682,0.8544999957084656,0.029090354219079018
