epoch,accuracy,loss,val_accuracy,val_loss
0,0.925000011920929,0.24291710555553436,0.9524000287055969,0.153467059135437
1,0.9690666794776917,0.10293552279472351,0.9769999980926514,0.07538851350545883
2,0.9772166609764099,0.07396139949560165,0.9718999862670898,0.09536566585302353
3,0.9817500114440918,0.060262732207775116,0.9786999821662903,0.08109834790229797
4,0.9846500158309937,0.05037619546055794,0.9811999797821045,0.06959189474582672
5,0.9869999885559082,0.0446859635412693,0.9793999791145325,0.08101780712604523
6,0.9891833066940308,0.03755294159054756,0.9821000099182129,0.08104440569877625
7,0.9903833270072937,0.03395324945449829,0.9815000295639038,0.08469980955123901
8,0.9909833073616028,0.032396040856838226,0.9837999939918518,0.08060511201620102
9,0.9911666512489319,0.030690079554915428,0.9805999994277954,0.09610587358474731
